Instance    SplitMode     OrderMode    Decrescent      Exec. Time    Solution Quality %     Busy %    Free %    Nº Items    Inside Items    Outside Items    Inside Items %    Outside Items %
BKW03       HORIZONTALLY  AREA         False             1.35099               20.2       20.2      79.8              30              17               13           56.6667           43.3333
BKW03       HORIZONTALLY  PERIMETER    True              2.20413               93         93         7                30              27                3           90                10
BKW03       HORIZONTALLY  PERIMETER    False             1.36209               20.2       20.2      79.8              30              17               13           56.6667           43.3333
BKW03       HORIZONTALLY  HEIGHT       True              2.1566                83.0667    83.0667   16.9333           30              25                5           83.3333           16.6667
BKW03       HORIZONTALLY  HEIGHT       False             1.31167               20.2       20.2      79.8              30              17               13           56.6667           43.3333
BKW03       HORIZONTALLY  WIDTH        True              2.02144               58.1333    58.1333   41.8667           30              24                6           80                20
BKW03       HORIZONTALLY  WIDTH        False             1.93083               39.6667    39.6667   60.3333           30              23                7           76.6667           23.3333
BKW03       HORIZONTALLY  NONE         True              1.64946               33.8667    33.8667   66.1333           30              20               10           66.6667           33.3333
BKW03       HORIZONTALLY  NONE         False             1.63374               33.8667    33.8667   66.1333           30              20               10           66.6667           33.3333
BKW04       HORIZONTALLY  AREA         True              3.4035                87.3125    87.3125   12.6875           40              34                6           85                15
BKW04       HORIZONTALLY  AREA         False             2.8425                18.6875    18.6875   81.3125           40              28               12           70                30
BKW04       HORIZONTALLY  PERIMETER    True              3.00663               85.7812    85.7812   14.2188           40              31                9           77.5              22.5
BKW04       HORIZONTALLY  PERIMETER    False             2.60629               17.5625    17.5625   82.4375           40              26               14           65                35
BKW04       HORIZONTALLY  HEIGHT       True              3.69424               74.6094    74.6094   25.3906           40              36                4           90                10
BKW04       HORIZONTALLY  HEIGHT       False             2.5533                17.5625    17.5625   82.4375           40              26               14           65                35
BKW04       HORIZONTALLY  WIDTH        True              3.41898               75.6406    75.6406   24.3594           40              34                6           85                15
BKW04       HORIZONTALLY  WIDTH        False             2.79195               18.6875    18.6875   81.3125           40              28               12           70                30
BKW04       HORIZONTALLY  NONE         True              3.40033               62.7656    62.7656   37.2344           40              34                6           85                15
BKW04       HORIZONTALLY  NONE         False             3.40564               62.7656    62.7656   37.2344           40              34                6           85                15
BKW05       HORIZONTALLY  AREA         True              3.23006               90.47      90.47      9.53             50              35               15           70                30
BKW05       HORIZONTALLY  AREA         False             3.7936                41.1       41.1      58.9              50              39               11           78                22
BKW05       HORIZONTALLY  PERIMETER    True              3.85298               90.88      90.88      9.12             50              40               10           80                20
BKW05       HORIZONTALLY  PERIMETER    False             3.76286               41.1       41.1      58.9              50              39               11           78                22
BKW05       HORIZONTALLY  HEIGHT       True              4.21644               77.42      77.42     22.58             50              42                8           84                16
BKW05       HORIZONTALLY  HEIGHT       False             1.96964               25.08      25.08     74.92             50              23               27           46                54
BKW05       HORIZONTALLY  WIDTH        True              3.92906               83.96      83.96     16.04             50              39               11           78                22
BKW05       HORIZONTALLY  WIDTH        False             4.07894               42.81      42.81     57.19             50              40               10           80                20
BKW05       HORIZONTALLY  NONE         True              4.40426               77.5       77.5      22.5              50              43                7           86                14
BKW05       HORIZONTALLY  NONE         False             4.31038               77.5       77.5      22.5              50              43                7           86                14
BKW06       HORIZONTALLY  AREA         True              5.01847               95.74      95.74      4.26             60              49               11           81.6667           18.3333
BKW06       HORIZONTALLY  AREA         False             3.73296               13.24      13.24     86.76             60              37               23           61.6667           38.3333
BKW06       HORIZONTALLY  PERIMETER    True              5.50775               96.06      96.06      3.94             60              53                7           88.3333           11.6667
